what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1272673679473
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1272673679473
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1272673679473
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1272673679473
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1272673679473
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1272673679473
os,sysinfo,,,"win32",1272673679473
arch,sysinfo,,,"x86",1272673679473
ws,sysinfo,,,"win32",1272673679473
locale,sysinfo,,,"en_US",1272673679473
processors,sysinfo,,,"2",1272673679473
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1272673679473
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1272673679473
java.specification.name,sysinfo,,,"Java Platform API Specification",1272673679473
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272673679473
java.specification.version,sysinfo,,,"1.6",1272673679473
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272673679473
java.version,sysinfo,,,"1.6.0_16",1272673679473
java.vm.info,sysinfo,,,"mixed mode, sharing",1272673679473
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1272673679473
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272673679473
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272673679473
java.vm.specification.version,sysinfo,,,"1.0",1272673679473
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272673679473
java.vm.version,sysinfo,,,"14.2-b01",1272673679473
